sample,sex,fastq_1,fastq_2,strandedness
HSB398,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB398_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB398_2_val_2.fq.gz,reverse
HSB411,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB411_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB411_2_val_2.fq.gz,reverse
HSB412,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB412_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB412_2_val_2.fq.gz,reverse
HSB413,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB413_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB413_2_val_2.fq.gz,reverse
HSB414,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB414_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB414_2_val_2.fq.gz,reverse
HSB415,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB415_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB415_2_val_2.fq.gz,reverse
HSB416,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB416_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB416_2_val_2.fq.gz,reverse
HSB417,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB417_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB417_2_val_2.fq.gz,reverse
HSB418,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB418_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB418_2_val_2.fq.gz,reverse
HSB421,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB421_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB421_2_val_2.fq.gz,reverse
HSB422,XY,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB422_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB422_2_val_2.fq.gz,reverse
HSB427,XX,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB427_1_val_1.fq.gz,/mnt/sas0/AD/lalli/nf_stage/trimmed_reads/HSB427_2_val_2.fq.gz,reverse
